,city,lat,lon,temp,humidity,wind,clouds
0,Saskylakh,71.97,114.09,-12.98,59,7.2,44
1,Kodiak,39.95,-94.76,29.25,92,6.93,1
2,Bredasdorp,-34.53,20.04,66.49,88,8.21,92
3,Alofi,-19.06,-169.92,80.6,78,4.7,92
4,Camalu,30.85,-116.07,51.06,59,2.17,76
5,Saint-Augustin,44.83,-0.61,41.22,93,8.05,90
6,Hamilton,32.3,-64.78,66.2,63,12.75,75
7,Nantucket,41.28,-70.1,44.96,100,9.17,90
8,Port Lincoln,-34.72,135.86,63.93,92,15.03,88
9,Broome,52.47,1.45,34.65,69,10.29,90
10,Atuona,-9.8,-139.03,81.3,100,18.28,68
11,Buta,2.79,24.73,78.6,76,2.28,48
12,Albany,42.65,-73.75,43.16,82,13.87,90
13,Ushuaia,-54.81,-68.31,48.2,76,6.93,75
14,Ryotsu,38.08,138.43,41.0,60,16.11,75
15,Severo-Kurilsk,50.68,156.12,26.85,100,9.33,64
16,Kapaa,22.08,-159.32,71.82,53,16.11,75
17,Kruisfontein,-34.0,24.73,66.63,94,4.97,76
18,Coquimbo,-29.95,-71.34,55.4,87,5.82,0
19,Port Alfred,-33.59,26.89,71.35,100,8.1,92
20,Punta Arenas,-53.16,-70.91,53.6,66,14.99,75
21,Gasa,27.91,89.73,16.23,45,2.28,0
22,Victoria,5.28,115.24,88.7,74,3.36,75
23,Kavieng,-2.57,150.8,84.81,100,4.74,48
24,Vidim,50.47,14.53,27.63,86,5.82,90
25,Mar del Plata,-46.43,-67.52,57.45,58,20.85,8
26,Cabo San Lucas,22.89,-109.91,63.32,55,9.17,5
27,Barrow,-38.31,-60.23,53.71,64,8.55,0
28,Las Vegas,36.17,-115.15,46.67,32,4.7,1
29,Airai,-8.93,125.41,81.97,71,2.17,64
30,Provideniya,64.42,-173.23,2.55,100,14.03,0
31,San Carlos de Bariloche,-41.13,-71.31,44.6,70,16.11,0
32,Bluff,-23.58,149.07,85.12,62,6.53,100
33,Saint-Philippe,45.36,-73.48,37.11,93,5.82,90
34,Husainabad,24.53,84.02,67.66,58,5.41,0
35,Qaanaaq,77.48,-69.36,-18.2,77,7.99,0
36,East London,-33.02,27.91,77.0,88,8.05,75
37,Ilulissat,69.22,-51.1,6.8,71,2.24,8
38,Hobart,-42.88,147.33,64.4,88,8.05,75
39,Saldanha,41.42,-6.55,41.56,100,6.2,92
40,Rikitea,-23.12,-134.97,76.26,100,3.51,80
41,Naze,5.43,7.07,75.2,94,7.31,0
42,Jamestown,-33.21,138.6,69.55,59,10.89,24
43,Avarua,-21.21,-159.78,73.4,94,9.17,90
44,Butaritari,3.07,172.79,84.4,100,15.7,88
45,Cherskiy,68.75,161.3,-33.95,61,2.06,24
46,Griffith,-34.29,146.06,77.0,38,12.75,40
47,Yanam,16.73,82.22,82.4,51,11.41,40
